ID,Type,Area,X [m],Y [m],DepthRef [m],Z [m],Q/P [m^2/s],Koriginal [m/s],Krevised [m/s],LowerBoundFlag,,lnK
151009A,HPT09,Source,171.284,37.759,3.379335568,10.72066443,6.30E-06,9.25E-06,7.71E-06,0,,-5.113019725
151009A,HPT09,Source,171.284,37.759,3.394574825,10.70542518,6.07E-06,8.55E-06,7.16E-06,0,,-5.145164032
151009A,HPT09,Source,171.284,37.759,3.409814081,10.69018592,6.03E-06,8.42E-06,7.07E-06,0,,-5.150713446
151009A,HPT09,Source,171.284,37.759,3.425053337,10.67494666,6.20E-06,8.95E-06,7.43E-06,0,,-5.129074724
151009A,HPT09,Source,171.284,37.759,3.440292594,10.65970741,6.67E-06,1.05E-05,8.26E-06,0,,-5.08294961
151009A,HPT09,Source,171.284,37.759,3.45553185,10.64446815,7.20E-06,1.24E-05,9.45E-06,0,,-5.024734606
151009A,HPT09,Source,171.284,37.759,3.470771106,10.62922889,8.78E-06,1.90E-05,1.09E-05,0,,-4.961477443
151009A,HPT09,Source,171.284,37.759,3.486010363,10.61398964,8.11E-06,1.60E-05,1.10E-05,0,,-4.958596768
151009A,HPT09,Source,171.284,37.759,3.501249619,10.59875038,7.64E-06,1.40E-05,1.06E-05,0,,-4.974736019
151009A,HPT09,Source,171.284,37.759,3.516488875,10.58351112,7.73E-06,1.44E-05,1.03E-05,0,,-4.988538332
151009A,HPT09,Source,171.284,37.759,3.531728132,10.56827187,7.67E-06,1.42E-05,9.69E-06,0,,-5.013594953
151009A,HPT09,Source,171.284,37.759,3.546967388,10.55303261,7.14E-06,1.22E-05,8.72E-06,0,,-5.059353522
151009A,HPT09,Source,171.284,37.759,3.562206644,10.53779336,6.36E-06,9.46E-06,7.68E-06,0,,-5.11444812
151009A,HPT09,Source,171.284,37.759,3.577445901,10.5225541,6.14E-06,8.75E-06,7.08E-06,0,,-5.150206625
151009A,HPT09,Source,171.284,37.759,3.592685157,10.50731484,6.09E-06,8.60E-06,6.80E-06,0,,-5.167487636
151009A,HPT09,Source,171.284,37.759,3.607924413,10.49207559,6.29E-06,9.24E-06,6.74E-06,0,,-5.171540907
151009A,HPT09,Source,171.284,37.759,3.62316367,10.47683633,6.25E-06,9.12E-06,6.59E-06,0,,-5.180960754
151009A,HPT09,Source,171.284,37.759,3.638402926,10.46159707,5.94E-06,8.17E-06,6.34E-06,0,,-5.197778808
151009A,HPT09,Source,171.284,37.759,3.653642182,10.44635782,6.32E-06,9.34E-06,6.23E-06,0,,-5.205488838
151009A,HPT09,Source,171.284,37.759,3.668881439,10.43111856,5.80E-06,7.74E-06,5.77E-06,0,,-5.239085425
151009A,HPT09,Source,171.284,37.759,3.684120695,10.41587931,5.56E-06,7.06E-06,5.33E-06,0,,-5.272978635
151009A,HPT09,Source,171.284,37.759,3.699359951,10.40064005,5.30E-06,6.39E-06,4.97E-06,0,,-5.303916905
151009A,HPT09,Source,171.284,37.759,3.714599208,10.38540079,5.59E-06,7.16E-06,4.73E-06,0,,-5.325261176
151009A,HPT09,Source,171.284,37.759,3.729838464,10.37016154,5.52E-06,6.96E-06,4.22E-06,0,,-5.374324726
151009A,HPT09,Source,171.284,37.759,3.74507772,10.35492228,5.69E-06,7.43E-06,3.38E-06,0,,-5.470669917
151009A,HPT09,Source,171.284,37.759,3.760316977,10.33968302,2.73E-06,1.53E-06,2.09E-06,0,,-5.680263474
151009A,HPT09,Source,171.284,37.759,3.775556233,10.32444377,2.94E-06,1.79E-06,1.78E-06,0,,-5.748782983
151009A,HPT09,Source,171.284,37.759,3.790795489,10.30920451,3.06E-06,1.95E-06,1.78E-06,0,,-5.74898797
151009A,HPT09,Source,171.284,37.759,3.806034746,10.29396525,3.12E-06,2.03E-06,1.99E-06,0,,-5.701003641
151009A,HPT09,Source,171.284,37.759,3.821274002,10.278726,4.44E-06,4.35E-06,2.58E-06,0,,-5.588665556
151009A,HPT09,Source,171.284,37.759,3.836513258,10.26348674,4.44E-06,4.36E-06,2.96E-06,0,,-5.528688186
151009A,HPT09,Source,171.284,37.759,3.851752514,10.24824749,4.58E-06,4.67E-06,3.24E-06,0,,-5.48937194
151009A,HPT09,Source,171.284,37.759,3.866991771,10.23300823,4.58E-06,4.67E-06,3.42E-06,0,,-5.465930896
151009A,HPT09,Source,171.284,37.759,3.882231027,10.21776897,5.12E-06,5.91E-06,3.58E-06,0,,-5.445812204
151009A,HPT09,Source,171.284,37.759,3.897470283,10.20252972,4.57E-06,4.63E-06,3.36E-06,0,,-5.473095886
151009A,HPT09,Source,171.284,37.759,3.91270954,10.18729046,4.12E-06,3.71E-06,3.12E-06,0,,-5.505980664
151009A,HPT09,Source,171.284,37.759,3.927948796,10.1720512,4.10E-06,3.66E-06,3.09E-06,0,,-5.510701445
151009A,HPT09,Source,171.284,37.759,3.943188052,10.15681195,4.37E-06,4.20E-06,3.26E-06,0,,-5.486667589
151009A,HPT09,Source,171.284,37.759,3.958427309,10.14157269,4.54E-06,4.56E-06,3.53E-06,0,,-5.452780459
151009A,HPT09,Source,171.284,37.759,3.973666565,10.12633343,5.07E-06,5.79E-06,3.89E-06,0,,-5.410013744
151009A,HPT09,Source,171.284,37.759,3.988905821,10.11109418,5.10E-06,5.87E-06,4.07E-06,0,,-5.390869175
151009A,HPT09,Source,171.284,37.759,4.004145078,10.09585492,5.00E-06,5.63E-06,4.09E-06,0,,-5.38835157
151009A,HPT09,Source,171.284,37.759,4.019384334,10.08061567,4.83E-06,5.22E-06,4.06E-06,0,,-5.391614424
151009A,HPT09,Source,171.284,37.759,4.03462359,10.06537641,4.93E-06,5.46E-06,4.12E-06,0,,-5.384664409
151009A,HPT09,Source,171.284,37.759,4.049862847,10.05013715,5.17E-06,6.05E-06,4.22E-06,0,,-5.374351653
