Complexity,Loss,Equation
1,0.0025675476,"-1.0728338"
3,0.0018129494,"x0 + -1.1089575"
4,0.0005957284,"log(x0) * 0.31998968"
5,3.7882173e-6,"(x0 * 6.251426) + -1.2985923"
6,2.0389043e-6,"log((x0 * 2.1378236) + 0.26527378)"
7,1.9583285e-6,"(x0 ^ (x0 * -2.0887854)) + -2.356055"
8,1.8509556e-6,"(-1.5831618 / log(x0 * 1.9358059)) + -1.6664112"
9,1.8092998e-6,"(((-0.00017654133 / x0) + x0) * 5.4404206) + -1.2412344"
10,1.752049e-6,"exp(x0 * 4.338897) + ((-0.0013908123 / x0) + -2.2025437)"
