iter_num: 0      loss: 377.25297111    loss_validate: 355.90086852 
iter_num: 1000      loss: 16.71426862    loss_validate: 323.88351701 
iter_num: 2000      loss: 13.78333083    loss_validate: 270.99379320 
iter_num: 3000      loss: 12.29329937    loss_validate: 242.60573779 
iter_num: 4000      loss: 11.10992218    loss_validate: 218.97774714 
iter_num: 5000      loss: 8.93448012    loss_validate: 178.21037607 
iter_num: 6000      loss: 7.67357753    loss_validate: 153.81726180 
iter_num: 7000      loss: 6.97773226    loss_validate: 140.31401842 
iter_num: 8000      loss: 6.74582630    loss_validate: 135.79762488 
iter_num: 9000      loss: 7.65200781    loss_validate: 141.89624922 
iter_num: 10000      loss: 5.22665115    loss_validate: 106.03339046 
iter_num: 11000      loss: 5.41989541    loss_validate: 109.83876188 
iter_num: 12000      loss: 4.22387298    loss_validate: 86.16883733 
iter_num: 13000      loss: 4.41614715    loss_validate: 89.99691248 
iter_num: 14000      loss: 4.96386561    loss_validate: 100.83353130 
iter_num: 15000      loss: 3.43116856    loss_validate: 70.30767783 
iter_num: 16000      loss: 3.80522350    loss_validate: 77.82352998 
iter_num: 17000      loss: 5.26730038    loss_validate: 97.84467661 
iter_num: 18000      loss: 2.91497922    loss_validate: 59.88339821 
iter_num: 19000      loss: 3.13222604    loss_validate: 64.28994212 
iter_num: 20000      loss: 3.29159355    loss_validate: 67.51993726 
