Complexity,Loss,Equation
1,0.0053286985,"-1.8508973"
3,0.003884687,"x0 + -1.8992444"
4,3.3256158e-5,"log(x0 + 0.109074794)"
5,1.739691e-5,"(x0 * 6.816463) + -2.1803675"
6,1.0016163e-5,"log(x0 + 0.08839206) / 1.0766919"
8,9.998467e-6,"(log(x0 + 0.08415786) / 1.1116538) + -0.029724997"
9,9.946755e-6,"((x0 * -26.696434) * (x0 + -0.35200992)) + -2.2396965"
10,9.943907e-6,"(((exp(x0) + -1.3750739) * x0) + 0.09020359) * -24.813932"
