Complexity,Loss,Equation
1,0.0018004864,"-1.0827879"
3,0.0012771527,"x0 + -1.11726"
4,0.00049408997,"log(x0) * 0.31908098"
5,2.2346646e-6,"-0.18601097 / (x0 + 0.13760018)"
6,2.1074304e-6,"exp(x0 * -5.8397098) * -1.3231517"
7,1.9810604e-6,"(x0 ^ (x0 * -2.0878136)) + -2.3559144"
8,1.8833271e-6,"(-1.5863557 / (log(x0) + 0.65816414)) + -1.6670687"
9,1.8415163e-6,"(-0.00095662073 / x0) + ((x0 * 5.4463115) + -1.2415423)"
10,1.7764359e-6,"((-0.0013396634 / x0) + -2.2057927) + exp(x0 * 4.3819833)"
