Complexity,Loss,Equation
1,14.2241125,"300.4329"
3,0.21406473,"14.406661 / x0"
5,0.06294657,"15.867335 / (x0 + 0.0043959823)"
6,0.0087659275,"(log(x0) * -292.41226) + -578.9045"
7,0.001028974,"(0.9654059 / (x0 + 0.11159987)) ^ 3.1821866"
8,0.0009778049,"411.19595 / (exp(x0 * 13.751227) + -0.5966178)"
10,0.0009758794,"451.76733 / ((exp(x0 * 14.245585) + x0) + -0.5590498)"
