Complexity,Loss,Equation
1,22.39437,"1.5739976"
3,1.2402457,"x0 ^ -2.4323804"
5,0.07673777,"(x0 + 0.20934458) ^ -4.6419034"
7,0.013381393,"((x0 + 0.35011524) ^ -5.910334) * 1.9492774"
9,0.012699153,"(((x0 + 0.38618195) ^ -6.2971425) * 2.3148527) + 0.076020226"
10,0.011352935,"(((0.30783004 + x0) ^ -5.3393106) * 1.8337493) + log(x0)"
12,0.01119866,"(((x0 + 0.29671466) ^ -5.218504) * 1.7717912) + (-0.037898216 + log(x0))"
13,0.009678459,"(((x0 + 0.608716) ^ -8.425578) * 9.70516) + ((x0 * 2.0171187) ^ -2.3594606)"
15,0.008621986,"0.17339732 + ((((x0 + 0.5749564) ^ -7.9780064) + ((x0 / 0.12773041) ^ -4.2855315)) * 8.54613)"
