Complexity,Loss,Equation
1,0.0047394796,"-1.8477602"
3,0.0033824292,"x0 + -1.8960936"
4,1.2349432e-6,"log(x0 + 0.109609656)"
6,3.6517156e-7,"log(x0 + 0.10748774) + 0.013656981"
8,3.6444578e-7,"(x0 + (-2.3867958 / log(x0))) + -2.681654"
9,3.4851416e-7,"((x0 + 2.1869826) / (x0 ^ x0)) + -4.4333572"
